2024-07-20 00:22:13,150 INFO    MainThread:14628 [wandb_setup.py:_flush():76] Configure stats pid to 14628
2024-07-20 00:22:13,151 INFO    MainThread:14628 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Administrator\.config\wandb\settings
2024-07-20 00:22:13,151 INFO    MainThread:14628 [wandb_setup.py:_flush():76] Loading settings from D:\hammer\folder\flood_unet\wandb\settings
2024-07-20 00:22:13,151 INFO    MainThread:14628 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'mode': 'offline'}
2024-07-20 00:22:13,151 INFO    MainThread:14628 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': 'train.py'}
2024-07-20 00:22:13,151 INFO    MainThread:14628 [wandb_init.py:_log_setup():461] Logging user logs to D:\hammer\folder\flood_unet\wandb\offline-run-20240720_002213-1332lfsb\logs\debug.log
2024-07-20 00:22:13,151 INFO    MainThread:14628 [wandb_init.py:_log_setup():462] Logging internal logs to D:\hammer\folder\flood_unet\wandb\offline-run-20240720_002213-1332lfsb\logs\debug-internal.log
2024-07-20 00:22:13,151 INFO    MainThread:14628 [wandb_init.py:init():495] calling init triggers
2024-07-20 00:22:13,151 INFO    MainThread:14628 [wandb_init.py:init():499] wandb.init called with sweep_config: {}
config: {}
2024-07-20 00:22:13,151 INFO    MainThread:14628 [wandb_init.py:init():548] starting backend
2024-07-20 00:22:13,152 INFO    MainThread:14628 [backend.py:_multiprocessing_setup():99] multiprocessing start_methods=spawn, using: spawn
2024-07-20 00:22:13,154 INFO    MainThread:14628 [backend.py:ensure_launched():217] starting backend process...
2024-07-20 00:22:13,224 INFO    MainThread:14628 [backend.py:ensure_launched():222] started backend process with pid: 13368
2024-07-20 00:22:13,225 INFO    MainThread:14628 [wandb_init.py:init():558] backend started and connected
2024-07-20 00:22:13,226 INFO    MainThread:14628 [wandb_init.py:init():634] updated telemetry
2024-07-20 00:22:13,228 INFO    MainThread:14628 [wandb_init.py:init():700] starting run threads in backend
2024-07-20 00:22:18,239 INFO    MainThread:14628 [wandb_run.py:_console_start():1893] atexit reg
2024-07-20 00:22:18,239 INFO    MainThread:14628 [wandb_run.py:_redirect():1766] redirect: SettingsConsole.WRAP
2024-07-20 00:22:18,239 INFO    MainThread:14628 [wandb_run.py:_redirect():1803] Wrapping output streams.
2024-07-20 00:22:18,240 INFO    MainThread:14628 [wandb_run.py:_redirect():1827] Redirects installed.
2024-07-20 00:22:18,240 INFO    MainThread:14628 [wandb_init.py:init():732] run started, returning control to user process
